party;coalition;ideology;Regional;votes;seats;election
PP;PP;R;NO;7906185;137;42547
PSOE;PSOE;L;NO;5424709;85;42547
PODEMOS;UP;L;NO;3201170;45;42547
Cs;Cs;R;NO;3123769;32;42547
ECP;UP;L;YES;848526;12;42547
Compromis;UP;L;YES;655895;9;42547
ERC;ERC;L;YES;629294;9;42547
CDC;CDC;R;YES;481839;8;42547
EnMarea;UP;L;YES;344143;5;42547
PNV;PNV;R;YES;286215;5;42547
Bildu;Bildu;L;YES;184092;2;42547
CC;CC;R;YES;78080;1;42547
PACMA;PACMA;N;NO;284848;0;42547
PP;PP;R;NO;7236965;123;42358
PSOE;PSOE;L;NO;5545315;90;42358
Cs;Cs;R;NO;3514528;40;42358
PODEMOS;PODEMOS;L;NO;3198584;42;42358
ECP;PODEMOS;L;YES;929880;12;42358
IU;IU;L;NO;926783;2;42358
Compromis;PODEMOS;L;YES;673549;9;42358
ERC;ERC;L;YES;601782;9;42358
CDC;DL;R;YES;567253;8;42358
EnMarea;PODEMOS;L;YES;410698;6;42358
PNV;PNV;R;YES;302316;6;42358
PACMA;PACMA;N;NO;220369;0;42358
Bildu;Bildu;L;YES;219125;2;42358
UPYD;UPYD;R;NO;155153;0;42358
CC;CC;R;YES;81917;1;42358
PP;PP;R;NO;10866566;186;40867
PSOE;PSOE;L;NO;7003511;110;40867
IU;IU;L;NO;1686040;11;40867
UPYD;UPYD;R;NO;1143225;5;40867
CDC;CiU;R;YES;1015691;16;40867
Amaiur;Amaiur;L;YES;334498;7;40867
PNV;PNV;R;YES;324317;5;40867
ERC;ERC;L;YES;256393;3;40867
EQUO;EQUO;L;NO;216748;0;40867
BNG;BNG;L;YES;184037;2;40867
CC;CC;R;YES;143881;2;40867
Compromis;Compromis;L;YES;125306;1;40867
PACMA;PACMA;N;NO;102144;0;40867
Foro;Foro;R;YES;99473;1;40867
EB;EB;N;NO;97673;0;40867
PA;PA;L;YES;76999;0;40867
PxC;PxC;R;YES;59949;0;40867
PRC;PRC;L;YES;44010;0;40867
GeroaBai;GeroaBai;R;YES;42415;1;40867
